date,preclose,open,high,low,close,volume,amount,chg,chg.per
20091102,3827.683,3754.943,3955.783,3738.696,3955.783,6595070200,70113134428,128.1,3.3467
20091103,3955.783,3970.452,4053.212,3967.003,4053.212,8259001800,88498444300,97.429,2.463
20091104,4053.212,4057.024,4091.993,4040.324,4083.482,7791215800,84245285191,30.27,0.7468
20091105,4083.482,4082.874,4134.847,4068.94,4125.781,7088694500,73844938740,42.299,1.0359
20091106,4125.781,4147.832,4175.5,4130.69,4145.137,8394569500,86991528667,19.356,0.4691
20091109,4145.137,4148.431,4176.433,4120.391,4176.188,6832455400,71823996262,31.051,0.7491
20091110,4176.188,4193.656,4211.148,4176.131,4182.77,6980258400,74730896305,6.582,0.1576
20091111,4182.77,4172.664,4209.253,4149.287,4199.549,6278380300,66205122286,16.779,0.4011
20091112,4199.549,4203.618,4251.611,4197.697,4213.245,6682543700,70704987470,13.696,0.3261
20091113,4213.245,4200.666,4267.008,4166.142,4267.008,6330928500,69037907972,53.763,1.276
20091116,4267.008,4295.723,4366.852,4295.723,4364.973,8837484800,99027620073,97.965,2.2959
20091117,4364.973,4381.99,4400.394,4341.778,4387.552,7886137800,87869927121,22.579,0.5173
20091118,4387.552,4386.132,4413.624,4363.882,4406.779,7777146100,85515804793,19.227,0.4382
20091119,4406.779,4412.098,4476.138,4400.753,4476.138,8605622500,93593940758,69.359,1.5739
20091120,4476.138,4462.577,4541.274,4443.135,4508.293,8827120300,96484181155,32.155,0.7184
20091123,4508.293,4516.278,4592.007,4513.561,4591.339,8283718000,94245231224,83.046,1.8421
20091124,4591.339,4607.034,4611.888,4328.436,4347.657,11608682400,1.32E+11,-243.682,-5.3074
20091125,4347.657,4333.701,4512.677,4317.849,4512.08,8759604700,97082603745,164.423,3.7819
20091126,4512.08,4519.132,4541.945,4304.153,4328.408,10372926200,1.15E+11,-183.672,-4.0707
20091127,4328.408,4262.567,4355.231,4187.585,4215.338,7082962800,75810303259,-113.07,-2.6123
20091130,4215.338,4251.955,4405.693,4251.955,4405.328,6293950500,69591307407,189.99,4.5071
20091201,4405.328,4405.731,4525.649,4386.826,4525.288,7608966500,84582733937,119.96,2.7231
20091202,4525.288,4547.98,4605.878,4534.45,4591.384,8762787600,96857705813,66.096,1.4606
20091203,4591.384,4582.261,4625.636,4555.473,4621.941,7904182200,88680044087,30.557,0.6655
20091204,4621.941,4614.683,4651.148,4403.136,4506.082,9398535700,1.05E+11,-115.859,-2.5067
20091207,4506.082,4508.626,4581.578,4503.494,4581.242,6049309800,68533289382,75.16,1.668
20091208,4581.242,4584.16,4598.095,4520.924,4571.764,6640363700,74211406782,-9.478,-0.2069
20091209,4571.764,4524.624,4566.237,4474.096,4498.152,5535167100,61247632898,-73.612,-1.6101
20091210,4498.152,4517.704,4553.819,4485.821,4536.557,4541781800,51457524409,38.405,0.8538
20091211,4536.557,4546.61,4576.217,4517.528,4534.763,4711364600,53229806991,-1.794,-0.0395
20091214,4534.763,4533.364,4533.797,4417.726,4513.594,4609314400,51741648040,-21.169,-0.4668
20091215,4513.594,4507.158,4545.354,4492.24,4523.493,4658103400,53573939096,9.899,0.2193
20091216,4523.493,4509.822,4543.097,4491.02,4506.039,4341789200,49886431663,-17.454,-0.3859
20091217,4506.039,4506.367,4518.944,4362.838,4364.926,4492709600,51403036914,-141.113,-3.1316
20091218,4364.926,4318.065,4318.987,4194.965,4203.48,4298715200,47125711072,-161.446,-3.6987
20091221,4203.48,4195.117,4257.017,4185.109,4256.389,3209971900,35444566541,52.909,1.2587
20091222,4256.389,4260.744,4263.337,4124.08,4136.822,3684896700,40966914754,-119.567,-2.8091
20091223,4136.822,4132.155,4210.665,4129.892,4210.173,3288884800,36921147988,73.351,1.7731
20091224,4210.173,4213.821,4350.525,4209.975,4345.296,4436008000,50554403042,135.123,3.2094
20091225,4345.296,4342.35,4398.458,4324.855,4376.193,4272454000,48524138882,30.897,0.711
20091228,4376.193,4388.778,4447.757,4388.274,4447.205,4374973600,50027432219,71.012,1.6227
20091229,4447.205,4451.928,4465.461,4393.902,4463.604,4527214500,52114946742,16.399,0.3687
20091230,4463.604,4459.723,4470.308,4408.384,4446.067,4808960400,57155642238,-17.537,-0.3929
20091231,4446.067,4444.248,4487.451,4432.289,4485.255,4529280000,54875089597,39.188,0.8814
20100104,4485.255,4508.93,4542.71,4487.365,4510.527,5125673400,62671851458,25.272,0.5634
20100105,4510.527,4513.403,4558.21,4480.188,4557.475,5704074500,68443129593,46.948,1.0409
20100106,4557.475,4553.369,4595.102,4538.719,4550.279,5787597900,69618450892,-7.196,-0.1579
20100107,4550.279,4540.009,4554.932,4436.767,4459.155,5787344000,68761437809,-91.124,-2.0026
20100108,4459.155,4439.206,4514.719,4426.235,4514.452,4657364600,54897796700,55.297,1.2401
20100111,4514.452,4549.318,4558.461,4502.994,4542.949,5708973200,70066392656,28.497,0.6312
20100112,4542.949,4535.304,4640.353,4524.675,4639.632,6206168900,76271745524,96.683,2.1282
20100113,4639.632,4544.429,4650.059,4526.838,4591.024,6789880700,83458600355,-48.608,-1.0477
20100114,4591.024,4598.405,4714.873,4598.405,4714.1,6791848300,84561287696,123.076,2.6808
20100115,4714.1,4720.217,4753.189,4712.624,4747.648,5851337200,73076043319,33.548,0.7117
20100118,4747.648,4744.325,4829.361,4738.911,4829.062,6328435700,78211370140,81.414,1.7148
20100119,4829.062,4835.827,4852.325,4791.99,4830.016,6615494400,80838046644,0.954,0.0198
20100120,4830.016,4830.421,4831.701,4635.669,4651.074,7808653700,94323889250,-178.942,-3.7048
20100121,4651.074,4646.622,4696.161,4611.76,4667.209,5093667600,61486439798,16.135,0.3469
20100122,4667.209,4613.193,4633.394,4453.69,4537.88,6018718300,69988890425,-129.329,-2.771
20100125,4537.88,4515.131,4542.786,4477.187,4481.16,4139508300,49671090279,-56.72,-1.2499
